Threshold,Take Profit Percent,Stop Loss Percent,Number of Trades,Total Return,Average Return per Trade,Sharpe Ratio,Win Rate
0.21,0.03,-0.05,2177,2.5357444694303597,0.0011653237451426286,0.04158210795060684,0.5413602941176471
0.2,0.03,-0.05,2177,2.5357444694303597,0.0011653237451426286,0.04158210795060684,0.5413602941176471
0.22,0.03,-0.05,2173,2.3807442421991665,0.0010961069255060619,0.03909400430610811,0.5395948434622467
0.22,0.02,-0.05,2351,2.230999074140195,0.0009493613081447638,0.035669201227946166,0.5506382978723404
0.23,0.02,-0.05,2084,2.205734822162285,0.0010589221421806456,0.04356258690363222,0.5492078732597215
0.21,0.04,-0.04,2113,2.185141225626779,0.0010346312621338915,0.03634630092305022,0.5260416666666666
0.2,0.04,-0.04,2113,2.185141225626779,0.0010346312621338915,0.03634630092305022,0.5260416666666666
0.31,0.05,-0.05,1239,2.161209552564571,0.0017457266175804288,0.07366879707458056,0.5274636510500808
0.3,0.05,-0.04,1356,2.1435475127302617,0.0015819538839337724,0.06536091767280602,0.5313653136531366
0.25,0.05,-0.03,1853,2.108202117217662,0.0011383380762514375,0.04421965587831239,0.5205183585313174
0.24,0.05,-0.03,1853,2.108202117217662,0.0011383380762514375,0.04421965587831239,0.5205183585313174
0.23,0.02,-0.04,2110,2.1050717079776913,0.000998137367462158,0.04113271521978492,0.5519203413940256
0.21,0.02,-0.05,2351,2.1025764115003596,0.0008947133665958977,0.033636242142213356,0.551063829787234
0.2,0.02,-0.05,2351,2.1025764115003596,0.0008947133665958977,0.033636242142213356,0.551063829787234
0.26,0.05,-0.03,1733,2.0927257023389445,0.0012082711907268732,0.04745002594585065,0.5207852193995381
0.28,0.05,-0.03,1562,2.0829085156471376,0.0013343424187361548,0.05465314297985591,0.5285073670723895
0.28,0.05,-0.02,1602,2.070094974886208,0.0012930012335329217,0.05530293273554368,0.504684572142411
0.21,0.04,-0.05,2080,2.0607557800884586,0.00099122452144707,0.034389944521141545,0.5257335257335257
0.2,0.04,-0.05,2080,2.0607557800884586,0.00099122452144707,0.034389944521141545,0.5257335257335257
0.29,0.05,-0.05,1535,2.053141354592612,0.0013384233080786258,0.053014600634107525,0.5267275097783573
0.31,0.05,-0.04,1240,2.0337801330300107,0.001641469033922527,0.06959192948430372,0.5254237288135594
0.29,0.05,-0.03,1549,2.0320646747016444,0.0013127032782310364,0.05364511097268752,0.524547803617571
0.3,0.05,-0.03,1360,2.0284697999610595,0.0014926194260199113,0.0630296976514677,0.5239146431199412
0.22,0.04,-0.05,2076,2.0149342057104906,0.0009710526292580678,0.03371880701874862,0.5281927710843374
0.3,0.05,-0.05,1356,2.0139481024976855,0.0014863085627289192,0.06072980732361524,0.5306273062730628
0.23,0.05,-0.02,2074,2.01151162069519,0.0009703384566788181,0.03927734403222068,0.5031355523396044
0.21,0.05,-0.04,2064,2.0049378152162016,0.0009718554605992252,0.033884714195369245,0.5254483761512361
0.2,0.05,-0.04,2064,2.0049378152162016,0.0009718554605992252,0.033884714195369245,0.5254483761512361
0.22,0.05,-0.04,2059,2.002058198153533,0.0009728173946324262,0.033838247731702235,0.5286686103012633
0.22,0.05,-0.05,2024,1.9894637283991097,0.0009834225053875975,0.033677822254212085,0.5219970341077608
0.28,0.05,-0.05,1547,1.9862183659285033,0.0012847466791258107,0.05078970340708631,0.5310478654592496
0.3,0.04,-0.04,1357,1.980362908669112,0.0014604446229123243,0.06209037467089688,0.532448377581121
0.23,0.01,-0.05,2465,1.9795731630826972,0.0008033981993030427,0.037305936023568076,0.601461038961039
0.26,0.01,-0.05,2219,1.9662588834784929,0.0008865008491787614,0.04282025655155302,0.6027953110910731
0.29,0.05,-0.02,1584,1.962733533499545,0.0012398822068853726,0.0532040130112042,0.5015792798483891
0.22,0.04,-0.04,2111,1.9606799654982119,0.0009292322111365933,0.03262584272636929,0.5289099526066351
0.3,0.03,-0.04,1361,1.9583343490855842,0.0014399517272688119,0.06288963066724705,0.5345588235294118
0.3,0.02,-0.04,1377,1.9425211787270718,0.0014117159729121161,0.06428475659305738,0.5501453488372093
0.26,0.05,-0.05,1713,1.942266318095188,0.0011345013540275631,0.04295530007012008,0.5262850467289719
0.2,0.03,-0.04,2215,1.9373258132926545,0.0008750342426796091,0.03156060907507013,0.5320686540198736
0.21,0.03,-0.04,2215,1.9373258132926545,0.0008750342426796091,0.03156060907507013,0.5320686540198736
0.23,0.02,-0.03,2207,1.9359302749377332,0.0008775749206426715,0.0374635494341566,0.5498640072529465
0.31,0.05,-0.03,1241,1.930884245794699,0.0015571647143505637,0.06716663248723805,0.5185483870967742
0.22,0.03,-0.02,2513,1.9231267746281655,0.0007655759453137601,0.02999414134926542,0.5111464968152867
0.29,0.02,-0.05,1592,1.9166903217387905,0.0012047079332110563,0.0543360652934116,0.5449402891263356
0.26,0.04,-0.05,1721,1.9164290509103585,0.00111420293657579,0.04315294987090719,0.5290697674418605
0.3,0.04,-0.05,1357,1.9155096400548846,0.0014126177286540446,0.05935468585894407,0.532448377581121
0.3,0.02,-0.03,1381,1.910152690813342,0.0013841686165314072,0.06494046251935508,0.5427536231884058
0.26,0.03,-0.05,1750,1.9002618384139924,0.0010864847560971942,0.043029795061305026,0.5368782161234992
0.23,0.04,-0.02,2105,1.8928365615565916,0.0008996371490287983,0.037080557170667765,0.5033269961977186
0.23,0.01,-0.04,2500,1.8812339464579275,0.0007527946964617557,0.03543061822968234,0.6022408963585434
0.29,0.05,-0.04,1539,1.881173399409091,0.0012231296485104622,0.04858655192135752,0.52925877763329
0.28,0.02,-0.05,1610,1.8739680546869446,0.0011646787163995926,0.052329130065920576,0.5463020509633313
0.23,0.05,-0.03,1930,1.86876885400903,0.0009687759740845153,0.037340232263046655,0.5235873509590462
0.21,0.05,-0.05,2027,1.8680809379126226,0.0009220537699470003,0.03165909933656209,0.5246791707798618
0.2,0.05,-0.05,2027,1.8680809379126226,0.0009220537699470003,0.03165909933656209,0.5246791707798618
0.31,0.04,-0.05,1239,1.8670241733029502,0.001508097070519346,0.06612698308429141,0.5282714054927302
0.3,0.04,-0.03,1361,1.8669260296889627,0.0013727397277124725,0.05970943703103266,0.525
0.26,0.04,-0.03,1742,1.8666747387721074,0.001072185375515283,0.04320756761132599,0.5226881102814475
0.27,0.05,-0.05,1689,1.8632465104109612,0.0011038190227553087,0.04245956579693472,0.5225118483412322
0.26,0.03,-0.03,1773,1.8628768841292256,0.0010512849233234908,0.04361244442525262,0.5287810383747178
0.3,0.03,-0.05,1361,1.859445284482955,0.0013672391797668786,0.05899763147284384,0.5345588235294118
0.3,0.03,-0.03,1365,1.8556794632463591,0.0013604688146967442,0.06081614928576284,0.5271260997067448
0.28,0.04,-0.03,1563,1.8548017482568715,0.0011874531038776387,0.04987679142475564,0.528809218950064
0.22,0.03,-0.03,2311,1.8497446802008075,0.0008007552728142024,0.0297791380039083,0.5238095238095238
0.27,0.04,-0.05,1694,1.8369442037211003,0.0010850231563621384,0.04238691904383536,0.5251033668044891
0.22,0.03,-0.04,2213,1.8316406761956339,0.000828047321969093,0.029972849316532203,0.5316455696202531
0.28,0.03,-0.02,1610,1.8278429097467344,0.0011360117524839865,0.052033638199643954,0.5090118085767558
0.28,0.04,-0.02,1604,1.820550496216208,0.0011357145952690007,0.04995776475179507,0.5046787273861509
0.23,0.05,-0.05,1852,1.812926965662212,0.0009794310997634857,0.036629919732429635,0.5170178282009724
